Id,Category,Title,Keyword,Location,Search_Word,Save_url
1578656,beach,용산 한강철교,"#서울전경, #도시, #빌딩, #한강, #유람선, #한강철교, #한강대교, #노들섬",서울특별시 용산구 이촌동,서울특별시 용산구 이촌동 용산 한강철교,beach/1578656.jpg
1944220,beach,목포대교,"#목포대교, #전남목포대교, #대교, #목포, #전라남도목포시, #전라남도목포시",전라남도 목포시,전라남도 목포시 목포대교,beach/1944220.jpg
2463815,beach,학동흑진주몽돌해변,"#학동흑진주몽돌해변, #경상남도거제시, #학동몽돌해변, #함부로애틋하게, #바다, #바닷가",경상남도 거제시 동부면,경상남도 거제시 동부면 학동흑진주몽돌해변,beach/2463815.jpg
1840450,beach,용화해변,"#삼척용화해수욕장, #용화해변",강원도 삼척시 근덕면 용화리,강원도 삼척시 근덕면 용화리 용화해변,beach/1840450.jpg
1852283,beach,오시아노해변,"#해남화원관광단지, #해남오시아노관광단지, #해남오시아노해수욕장, #블랑코비치해변",전라남도 해남군 화원면 화봉리,전라남도 해남군 화원면 화봉리 오시아노해변,beach/1852283.jpg
1960306,beach,금능해수욕장,"#금능해변, #제주도금능해변, #금능, #해변, #제주도",제주특별자치도,제주특별자치도 금능해수욕장,beach/1960306.jpg
1940235,beach,월정리카페거리,"#월정리해변, #월정리해변카페거리, #제주도카페거리, #카페거리, #제주도, #카페",제주특별자치도,제주특별자치도 월정리카페거리,beach/1940235.jpg
2477992,beach,장항스카이워크,"#장항스카이워크, #충청남도서천군, #기벌포해전전망대, #바다",충청남도 서천군 장항읍,충청남도 서천군 장항읍 장항스카이워크,beach/2477992.jpg
1798980,beach,안목해변,"#안목해변일출, #안목해수욕장",강원도 강릉시,강원도 강릉시 안목해변,beach/1798980.jpg
2673806,beach,고하도 전망대,"#고하도전망대, #전라남도목포시, #목포전망대, #꼰대인턴촬영지, #드라마촬영지, #목포해상케이블카",전라남도 목포시 달동,전라남도 목포시 달동 고하도 전망대,beach/2673806.jpg
2626705,beach,만리포해수욕장,"#만리포해수욕장, #충청남도태안군, #만리포해변, #서해바다, #바닷가, #슬로시티, #드론촬영, #드론사진, #항공촬영",충청남도 태안군 소원면,충청남도 태안군 소원면 만리포해수욕장,beach/2626705.jpg
1544729,beach,명파해변,"#명파해변, #해수욕장, #모래사장, #바다",강원도 고성군 현내면,강원도 고성군 현내면 명파해변,beach/1544729.jpg
1960306,beach,금능해수욕장,"#금능해변, #제주도금능해변, #금능, #해변, #제주도",제주특별자치도,제주특별자치도 금능해수욕장,beach/1960306.jpg
1939310,beach,제주김녕해수욕장,"#제주김녕해수욕장야영장, #김녕해수욕장, #김녕해수욕장야영장, #김녕해수욕장캠핑장, #김녕야영장, #캠핑, #제주도",제주특별자치도,제주특별자치도 제주김녕해수욕장,beach/1939310.jpg
2025420,beach,한반도섬 전망대,"#한반도섬전망대, #강원도, #양구, #전망대, #한반도섬, #파로호인공습지, #인공습지, #전경",강원도 양구군,강원도 양구군 한반도섬 전망대,beach/2025420.jpg
1960874,beach,욕지도,"#욕지도, #통영욕지도, #통영, #경상남도통영시, #경상남도통영시",경상남도 통영시,경상남도 통영시 욕지도,beach/1960874.jpg
2531020,beach,밧개해수욕장,"#밧개해수욕장, #충청남도태안군, #밧개해변, #서해바다, #바닷가",충청남도 태안군 안면읍,충청남도 태안군 안면읍 밧개해수욕장,beach/2531020.jpg
2504238,mountain,보성녹차밭,"#神仙의茶園, #전라남도보성군, #대한다원, #대한1다원, #대한다원1농장, #보성녹차밭, #대한다업, #운무",전라남도 보성군 보성읍,전라남도 보성군 보성읍 보성녹차밭,mountain/2504238.jpg
2761893,mountain,다랑쉬오름,"#다랑쉬오름의아침, #제주특별자치도제주시, #제주도, #월랑봉, #분화구, #제주오름, #화산섬, #기생화산, #아끈다랑쉬오름",제주특별자치도 제주시,제주특별자치도 제주시 다랑쉬오름,mountain/2761893.jpg
2504233,mountain,북한산,"#북한산일출, #서울특별시은평구, #명승제10호, #삼각산, #북한산국립공원, #텐트",서울특별시 은평구,서울특별시 은평구 북한산,mountain/2504233.jpg
2541130,mountain,와온해변,"#와온해변일몰, #전라남도순천시, #와온마을일몰, #서해바다, #석양, #낙조, #솔섬, #소나무숲, #송림, #솔숲, #갯벌, #펄, #뻘",전라남도 순천시 해룡면,전라남도 순천시 해룡면 와온해변,mountain/2541130.jpg
