Id,Category,Title,Keyword,Location,Search_Word,Save_url
1732436,exhibition,대구예술발전소,"#대구예술발전소, #대구사진비엔날레, #전시회",대구광역시 중구,대구광역시 중구 대구예술발전소,exhibition/1732436.jpg
1733229,cultural,대구 둔산동경주최씨종택,"#경주최씨종택, #종가, #옻골마을",대구광역시 동구,대구광역시 동구 대구 둔산동경주최씨종택,cultural/1733229.jpg
1734470,park,3.1운동계단,"#3.1운동길, #90계단, #대구근대골목투어, #근대문화골목",대구광역시 중구 동산동,대구광역시 중구 동산동 3.1운동계단,park/1734470.jpg
1734764,exhibition,대구근대역사관,"#대구근대역사관, #전시관, #대구근대골목투어",대구광역시 중구,대구광역시 중구 대구근대역사관,exhibition/1734764.jpg
1735157,exhibition,계명대학교 동산의료원 의료선교박물관,"#의료선교박물관, #선교사스윗즈주택, #선교박물관",대구광역시 중구,대구광역시 중구 계명대학교 동산의료원 의료선교박물관,exhibition/1735157.jpg
1735495,cultural,약전식당,"#드라마사랑비촬영지, #한류, #진골목길",대구광역시 중구,대구광역시 중구 약전식당,cultural/1735495.jpg
1736271,exhibition,임진각관광지,"#경기평화센터, #전시관, #임진각, #DMZ관광",경기도 파주시 문산읍 마정리,경기도 파주시 문산읍 마정리 임진각관광지,exhibition/1736271.jpg
1736782,park,임진각 평화누리,"#임진각평화누리공원, #DMZ관광",경기도 파주시 문산읍 마정리,경기도 파주시 문산읍 마정리 임진각 평화누리,park/1736782.jpg
1737729,park,연천급수탑,"#연천역급수탑, #DMZ관광",경기도 연천군 연천읍 차탄리,경기도 연천군 연천읍 차탄리 연천급수탑,park/1737729.jpg
1738866,park,오두산통일전망대,"#오두산통일전망대, #DMZ관광",경기도 파주시 탄현면,경기도 파주시 탄현면 오두산통일전망대,park/1738866.jpg
1740014,monument,임진각관광지,"#임진각, #DMZ관광, #안보관광",경기도 파주시 문산읍 마정리,경기도 파주시 문산읍 마정리 임진각관광지,monument/1740014.jpg
1740325,park,열쇠전망대,"#열쇠전망대, #DMZ관광",경기도 연천군 신서면 마전리,경기도 연천군 신서면 마전리 열쇠전망대,park/1740325.jpg
1740489,exhibition,임진각관광지,"#파주농특산물홍보관, #임진각",경기도 파주시 문산읍 마정리,경기도 파주시 문산읍 마정리 임진각관광지,exhibition/1740489.jpg
1740614,exhibition,롯데프리미엄아울렛 파주점,"#파주롯데프리미엄아울렛, #쇼핑몰, #쇼핑",경기도 파주시,경기도 파주시 롯데프리미엄아울렛 파주점,exhibition/1740614.jpg
1746178,lake,거창 덕천서원,"#덕천서원의봄, #벚꽃, #연못",경상남도 거창군 거창읍,경상남도 거창군 거창읍 거창 덕천서원,lake/1746178.jpg
